Score,Armor Class,Armor Name,Weapon Name,Build Name,Subclass Type,Super,Class Ability,Jump,Melee,Grenade,Aspects,Fragment Slots,Fragments,Description
10,Hunter,"Knucklehead Radar","Third Iteration","The Graviton Embrace","Void Hunter","Shadowshot: Deadfall","Marksman's Dodge","Triple Jump","Snare Bomb","Vortex Grenade","Vanishing Step; Stylish Executioner",4,"Echo of Starvation; Echo of Persistence; Echo of Instability; Echo of Undermining","Knucklehead Radar synergizes with Third Iteration by ability: neutral / any. Focus on weakening foes and feeding the Void for devour. Tether enemies and suppress their abilities. Your aspects (Vanishing Step + Stylish Executioner) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Knucklehead Radar","Winterbite","The Hoarfrost's Shattering","Stasis Hunter","Silence and Squall","Marksman's Dodge","Triple Jump","Withering Blade","Duskfield Grenade","Grim Harvest; Touch of Winter",5,"Whisper of Durance; Whisper of Shards; Whisper of Conduction; Whisper of Rime; Whisper of Chains","Knucklehead Radar synergizes with Winterbite by ability: neutral / any. Focus on freezing targets and shattering crystals. Use your Silence and Squall strategically. Your aspects (Grim Harvest + Touch of Winter) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Knucklehead Radar","Tessellation","The Tactical Command","Void Hunter","Shadowshot: Deadfall","Marksman's Dodge","Triple Jump","Snare Bomb","Vortex Grenade","Vanishing Step; Stylish Executioner",4,"Echo of Starvation; Echo of Persistence","Knucklehead Radar synergizes with Tessellation by ability: neutral / any. Focus on versatile damage output. Tether enemies and suppress their abilities. Your aspects (Vanishing Step + Stylish Executioner) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Knucklehead Radar","Heartshadow","The Abyssal Embrace","Void Hunter","Shadowshot: Deadfall","Marksman's Dodge","Triple Jump","Snare Bomb","Vortex Grenade","Vanishing Step; Stylish Executioner",4,"Echo of Starvation; Echo of Persistence; Echo of Instability; Echo of Undermining","Knucklehead Radar synergizes with Heartshadow by ability: neutral / any. Focus on weakening foes and feeding the Void for devour. Tether enemies and suppress their abilities. Your aspects (Vanishing Step + Stylish Executioner) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Knucklehead Radar","Lodestar","The Stormbringer's Chaos","Arc Hunter","Gathering Storm","Gambler's Dodge","Triple Jump","Combination Blow","Flashbang Grenade","Flow State; Lethal Current",4,"Spark of Resistance; Spark of Feedback; Spark of Shock; Spark of Ions","Knucklehead Radar synergizes with Lodestar by ability: neutral / any. Focus on chaining lightning and becoming amplified. Summon an arc storm to control the battlefield. Your aspects (Flow State + Lethal Current) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Knucklehead Radar","Hierarchy of Needs","The Solar Flare Radiance","Solar Hunter","Golden Gun: Marksman","Marksman's Dodge","Triple Jump","Knife Trick","Healing Grenade","Knock 'Em Down; On Your Mark",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Searing","Knucklehead Radar synergizes with Hierarchy of Needs by ability: neutral / any. Focus on igniting enemies and sustaining through Solar restoration. Deliver precision eliminations with enhanced damage. Your aspects (Knock 'Em Down + On Your Mark) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Knucklehead Radar","Microcosm","The Eternal Dominance","Void Hunter","Shadowshot: Deadfall","Marksman's Dodge","Triple Jump","Snare Bomb","Vortex Grenade","Vanishing Step; Stylish Executioner",4,"Echo of Starvation; Echo of Persistence","Knucklehead Radar synergizes with Microcosm by ability: neutral / any. Focus on versatile damage output. Tether enemies and suppress their abilities. Your aspects (Vanishing Step + Stylish Executioner) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Celestial Nighthawk","Ergo Sum","The Solar Flare Embrace","Solar Hunter","Golden Gun: Marksman","Marksman's Dodge","Triple Jump","Knife Trick","Healing Grenade","Knock 'Em Down; On Your Mark",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Searing","Celestial Nighthawk synergizes with Ergo Sum by ability: golden gun. Focus on igniting enemies and sustaining through Solar restoration. Deliver precision eliminations with enhanced damage. Your aspects (Knock 'Em Down + On Your Mark) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Celestial Nighthawk","Traveler's Chosen","The Phoenix Inferno","Solar Hunter","Golden Gun: Marksman","Marksman's Dodge","Triple Jump","Knife Trick","Healing Grenade","Knock 'Em Down; On Your Mark",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Searing","Celestial Nighthawk synergizes with Traveler's Chosen by ability: golden gun. Focus on igniting enemies and sustaining through Solar restoration. Deliver precision eliminations with enhanced damage. Your aspects (Knock 'Em Down + On Your Mark) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Celestial Nighthawk","Sturm","The Dawn's Immolation","Solar Hunter","Golden Gun: Marksman","Marksman's Dodge","Triple Jump","Knife Trick","Healing Grenade","Knock 'Em Down; On Your Mark",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Searing","Celestial Nighthawk synergizes with Sturm by ability: golden gun. Focus on igniting enemies and sustaining through Solar restoration. Deliver precision eliminations with enhanced damage. Your aspects (Knock 'Em Down + On Your Mark) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Celestial Nighthawk","Tessellation","The Sunbreaker's Radiance","Solar Hunter","Golden Gun: Marksman","Marksman's Dodge","Triple Jump","Knife Trick","Healing Grenade","Knock 'Em Down; On Your Mark",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Searing","Celestial Nighthawk synergizes with Tessellation by ability: golden gun. Focus on igniting enemies and sustaining through Solar restoration. Deliver precision eliminations with enhanced damage. Your aspects (Knock 'Em Down + On Your Mark) amplify this synergy. Additional synergies: Energy"
10,Hunter,"Celestial Nighthawk","Monte Carlo","The Incandescent Embrace","Solar Hunter","Golden Gun: Marksman","Marksman's Dodge","Triple Jump","Knife Trick","Healing Grenade","Knock 'Em Down; On Your Mark",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Searing","Celestial Nighthawk synergizes with Monte Carlo by ability: golden gun. Focus on igniting enemies and sustaining through Solar restoration. Deliver precision eliminations with enhanced damage. Your aspects (Knock 'Em Down + On Your Mark) amplify this synergy. Additional synergies: Cooldown"
10,Titan,"Hoarfrost-Z","Malfeasance","The Hoarfrost's Shattering","Stasis Titan","Glacial Quake","Towering Barricade","Strafe Lift","Shiver Strike","Glacier Grenade","Tectonic Harvest; Howl of the Storm",4,"Whisper of Chains; Whisper of Shards; Whisper of Rime; Whisper of Conduction","Hoarfrost-Z synergizes with Malfeasance by ability: stasis subclass. Focus on freezing targets and shattering crystals. Shatter the battlefield with stasis might. Your aspects (Tectonic Harvest + Howl of the Storm) amplify this synergy. Additional synergies: Slow"
10,Titan,"Hoarfrost-Z","Wish-Ender","The Shatterdive Grip","Stasis Titan","Glacial Quake","Towering Barricade","Strafe Lift","Shiver Strike","Glacier Grenade","Tectonic Harvest; Howl of the Storm",4,"Whisper of Chains; Whisper of Shards; Whisper of Rime; Whisper of Conduction","Hoarfrost-Z synergizes with Wish-Ender by ability: stasis subclass. Focus on freezing targets and shattering crystals. Shatter the battlefield with stasis might. Your aspects (Tectonic Harvest + Howl of the Storm) amplify this synergy. Additional synergies: Slow"
10,Titan,"Hoarfrost-Z","Ergo Sum","The Icebreaker's Crystallization","Stasis Titan","Glacial Quake","Towering Barricade","Strafe Lift","Shiver Strike","Glacier Grenade","Tectonic Harvest; Howl of the Storm",4,"Whisper of Chains; Whisper of Shards; Whisper of Rime; Whisper of Conduction","Hoarfrost-Z synergizes with Ergo Sum by ability: stasis subclass. Focus on freezing targets and shattering crystals. Shatter the battlefield with stasis might. Your aspects (Tectonic Harvest + Howl of the Storm) amplify this synergy. Additional synergies: Energy"
10,Titan,"Hoarfrost-Z","Traveler's Chosen","The Glacial Crystallization","Stasis Titan","Glacial Quake","Towering Barricade","Strafe Lift","Shiver Strike","Glacier Grenade","Tectonic Harvest; Howl of the Storm",4,"Whisper of Chains; Whisper of Shards; Whisper of Rime; Whisper of Conduction","Hoarfrost-Z synergizes with Traveler's Chosen by ability: stasis subclass. Focus on freezing targets and shattering crystals. Shatter the battlefield with stasis might. Your aspects (Tectonic Harvest + Howl of the Storm) amplify this synergy. Additional synergies: Energy"
10,Titan,"Hoarfrost-Z","Bastion","The Crystal Freeze","Stasis Titan","Glacial Quake","Towering Barricade","Strafe Lift","Shiver Strike","Glacier Grenade","Tectonic Harvest; Howl of the Storm",4,"Whisper of Chains; Whisper of Shards; Whisper of Rime; Whisper of Conduction","Hoarfrost-Z synergizes with Bastion by ability: stasis subclass. Focus on freezing targets and shattering crystals. Shatter the battlefield with stasis might. Your aspects (Tectonic Harvest + Howl of the Storm) amplify this synergy. Additional synergies: Slow"
10,Titan,"Hoarfrost-Z","Tessellation","The Frozen Freeze","Stasis Titan","Glacial Quake","Towering Barricade","Strafe Lift","Shiver Strike","Glacier Grenade","Tectonic Harvest; Howl of the Storm",4,"Whisper of Chains; Whisper of Shards; Whisper of Rime; Whisper of Conduction","Hoarfrost-Z synergizes with Tessellation by ability: stasis subclass. Focus on freezing targets and shattering crystals. Shatter the battlefield with stasis might. Your aspects (Tectonic Harvest + Howl of the Storm) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Prometheus Lens","The Incandescent Inferno","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Heart of Inmost Light synergizes with Prometheus Lens by ability: neutral / any. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Jötunn","The Dawn's Radiance","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Heart of Inmost Light synergizes with Jötunn by ability: neutral / any. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Legend of Acrius","The Lightning's Cascade","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Touch of Thunder; Knockout",4,"Spark of Resistance; Spark of Shock; Spark of Magnitude; Spark of Ions","Heart of Inmost Light synergizes with Legend of Acrius by ability: neutral / any. Focus on chaining lightning and becoming amplified. Become a missile and obliterate targets. Your aspects (Touch of Thunder + Knockout) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Wolfsbane","The Solar Flare Radiance","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Heart of Inmost Light synergizes with Wolfsbane by ability: neutral / any. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Worldline Zero","The Stormbringer's Tempest","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Touch of Thunder; Knockout",4,"Spark of Resistance; Spark of Shock; Spark of Magnitude; Spark of Ions","Heart of Inmost Light synergizes with Worldline Zero by ability: neutral / any. Focus on chaining lightning and becoming amplified. Become a missile and obliterate targets. Your aspects (Touch of Thunder + Knockout) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Bad Juju","The Eternal Supremacy","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Heart of Inmost Light synergizes with Bad Juju by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Sturm","The Praxic Supremacy","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Heart of Inmost Light synergizes with Sturm by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Sunshot","The Phoenix Immolation","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Heart of Inmost Light synergizes with Sunshot by ability: neutral / any. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Wish-Keeper","The Threadrunner's Convergence","Strand Titan","Bladefury","Towering Barricade","Strafe Lift","Frenzied Blade","Shackle Grenade","Banner of War; Into the Fray",4,"Thread of Warding; Thread of Fury; Thread of Continuity; Thread of Generation","Heart of Inmost Light synergizes with Wish-Keeper by ability: neutral / any. Focus on unraveling enemies and suspending threats. Use your Bladefury strategically. Your aspects (Banner of War + Into the Fray) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Third Iteration","The Abyssal Eclipse","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Heart of Inmost Light synergizes with Third Iteration by ability: neutral / any. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Heartshadow","The Void's Desolation","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Heart of Inmost Light synergizes with Heartshadow by ability: neutral / any. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Lodestar","The Stormbringer's Surge","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Touch of Thunder; Knockout",4,"Spark of Resistance; Spark of Shock; Spark of Magnitude; Spark of Ions","Heart of Inmost Light synergizes with Lodestar by ability: neutral / any. Focus on chaining lightning and becoming amplified. Become a missile and obliterate targets. Your aspects (Touch of Thunder + Knockout) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Hierarchy of Needs","The Solar Flare Fury","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Heart of Inmost Light synergizes with Hierarchy of Needs by ability: neutral / any. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Energy"
10,Titan,"Heart of Inmost Light","Microcosm","The Iron Protocol","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Heart of Inmost Light synergizes with Microcosm by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: Energy"
10,Titan,"Severance Enclosure","Edge of Intent","The Sunbreaker's Radiance","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","Severance Enclosure synergizes with Edge of Intent by ability: neutral / any. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","Edge of Concurrence","The Thunderlord's Cascade","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Touch of Thunder; Knockout",4,"Spark of Resistance; Spark of Shock; Spark of Magnitude; Spark of Ions","Severance Enclosure synergizes with Edge of Concurrence by ability: neutral / any. Focus on chaining lightning and becoming amplified. Become a missile and obliterate targets. Your aspects (Touch of Thunder + Knockout) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","The Navigator","The Threadrunner's Weaving","Strand Titan","Bladefury","Towering Barricade","Strafe Lift","Frenzied Blade","Shackle Grenade","Banner of War; Into the Fray",4,"Thread of Warding; Thread of Fury; Thread of Continuity; Thread of Generation","Severance Enclosure synergizes with The Navigator by ability: neutral / any. Focus on unraveling enemies and suspending threats. Use your Bladefury strategically. Your aspects (Banner of War + Into the Fray) amplify this synergy. Additional synergies: Sever"
10,Titan,"Severance Enclosure","Ergo Sum","The Guardian's Protocol","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Severance Enclosure synergizes with Ergo Sum by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","Grand Overture","The Lightning's Discharge","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Touch of Thunder; Knockout",4,"Spark of Resistance; Spark of Shock; Spark of Magnitude; Spark of Ions","Severance Enclosure synergizes with Grand Overture by ability: neutral / any. Focus on chaining lightning and becoming amplified. Become a missile and obliterate targets. Your aspects (Touch of Thunder + Knockout) amplify this synergy. Additional synergies: Sever"
10,Titan,"Severance Enclosure","Traveler's Chosen","The Iron Mastery","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Severance Enclosure synergizes with Traveler's Chosen by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","Bastion","The Praxic Mastery","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Severance Enclosure synergizes with Bastion by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","Edge of Action","The Shadowbinder's Desolation","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Severance Enclosure synergizes with Edge of Action by ability: neutral / any. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","Praxic Blade","The Vanguard's Command","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Severance Enclosure synergizes with Praxic Blade by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","Winterbite","The Icebreaker's Shattering","Stasis Titan","Glacial Quake","Towering Barricade","Strafe Lift","Shiver Strike","Glacier Grenade","Tectonic Harvest; Howl of the Storm",4,"Whisper of Chains; Whisper of Shards; Whisper of Rime; Whisper of Conduction","Severance Enclosure synergizes with Winterbite by ability: neutral / any. Focus on freezing targets and shattering crystals. Shatter the battlefield with stasis might. Your aspects (Tectonic Harvest + Howl of the Storm) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","Vexcalibur","The Shadowbinder's Embrace","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Severance Enclosure synergizes with Vexcalibur by ability: neutral / any. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","Monte Carlo","The Praxic Command","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Severance Enclosure synergizes with Monte Carlo by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: Melee"
10,Titan,"Severance Enclosure","Khvostov 7G-0X","The Vanguard's Supremacy","Arc Titan","Thundercrash","Towering Barricade","Strafe Lift","Thunderclap","Pulse Grenade","Knockout; Touch of Thunder",4,"Spark of Resistance; Spark of Instinct","Severance Enclosure synergizes with Khvostov 7G-0X by ability: neutral / any. Focus on versatile damage output. Become a missile and obliterate targets. Your aspects (Knockout + Touch of Thunder) amplify this synergy. Additional synergies: Sever"
10,Titan,"Second Chance","Bastion","The Shadowbinder's Desolation","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Second Chance synergizes with Bastion by ability: shield throw. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Melee"
10,Titan,"Second Chance","Bad Juju","The Graviton Desolation","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Second Chance synergizes with Bad Juju by ability: shield throw. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Energy"
10,Titan,"Second Chance","Sturm","The Graviton Eclipse","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Second Chance synergizes with Sturm by ability: shield throw. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Energy"
10,Titan,"Second Chance","Praxic Blade","The Void's Dominion","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Second Chance synergizes with Praxic Blade by ability: shield throw. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Melee"
10,Titan,"Second Chance","Tessellation","The Abyssal Desolation","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Second Chance synergizes with Tessellation by ability: shield throw. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Energy"
10,Titan,"Second Chance","Monte Carlo","The Nightstalker's Eclipse","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Second Chance synergizes with Monte Carlo by ability: shield throw. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Melee"
10,Titan,"Second Chance","Microcosm","The Shadowbinder's Hunger","Void Titan","Ward of Dawn","Towering Barricade","Strafe Lift","Shield Throw","Suppression Grenade","Bastion; Controlled Demolition",4,"Echo of Cessation; Echo of Remnants; Echo of Undermining; Echo of Starvation","Second Chance synergizes with Microcosm by ability: shield throw. Focus on weakening foes and feeding the Void for devour. Protect your team with an impenetrable shield. Your aspects (Bastion + Controlled Demolition) amplify this synergy. Additional synergies: Energy"
10,Titan,"The Path of Burning Steps","Malfeasance","The Solar Flare Inferno","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","The Path of Burning Steps synergizes with Malfeasance by ability: roaring flames. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Slow"
10,Titan,"The Path of Burning Steps","Ace of Spades","The Incandescent Embrace","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","The Path of Burning Steps synergizes with Ace of Spades by ability: roaring flames. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Solar"
10,Titan,"The Path of Burning Steps","Wish-Ender","The Solar Flare Ascendance","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","The Path of Burning Steps synergizes with Wish-Ender by ability: roaring flames. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Slow"
10,Titan,"The Path of Burning Steps","No Time to Explain","The Sunbreaker's Fury","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","The Path of Burning Steps synergizes with No Time to Explain by ability: roaring flames. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Slow"
10,Titan,"The Path of Burning Steps","Ergo Sum","The Incandescent Radiance","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","The Path of Burning Steps synergizes with Ergo Sum by ability: roaring flames. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Energy"
10,Titan,"The Path of Burning Steps","Traveler's Chosen","The Radiant Immolation","Solar Titan","Hammer of Sol","Towering Barricade","Strafe Lift","Throwing Hammer","Solar Grenade","Sol Invictus; Roaring Flames",4,"Ember of Solace; Ember of Empyrean; Ember of Torches; Ember of Singeing","The Path of Burning Steps synergizes with Traveler's Chosen by ability: roaring flames. Focus on igniting enemies and sustaining through Solar restoration. Rain solar hammers upon your foes. Your aspects (Sol Invictus + Roaring Flames) amplify this synergy. Additional synergies: Energy"
